import time: self [us] | cumulative | imported package
import time:       324 |       1011 |                               asyncio.staggered
import time:       151 |        151 |                               asyncio.trsock
import time:       608 |      14666 |                             asyncio.base_events
import time:       186 |        186 |                             asyncio.runners
import time:       168 |        168 |                             asyncio.queues
import time:       263 |        263 |                             asyncio.streams
import time:       147 |        147 |                             asyncio.subprocess
import time:       110 |        110 |                             asyncio.taskgroups
import time:       222 |        222 |                             asyncio.timeouts
import time:        99 |         99 |                             asyncio.threads
import time:       203 |        203 |                               asyncio.base_subprocess
import time:       284 |        284 |                               asyncio.selector_events
import time:       405 |        891 |                             asyncio.unix_events
import time:       349 |      17099 |                           asyncio
import time:        16 |      17115 |                         asyncio.coroutines
import time:      5067 |      26098 |                       pydantic_core.core_schema
import time:       524 |      30218 |                     pydantic_core
import time:       640 |      30858 |                   pydantic.version
import time:       360 |      31217 |                 pydantic.warnings
import time:       313 |      31529 |               pydantic._migration
import time:       262 |        262 |                   typing_inspection
import time:       852 |        852 |                   typing_inspection.typing_objects
import time:       623 |       1737 |                 typing_inspection.introspection
import time:       306 |        306 |                 pydantic._internal
import time:       338 |        338 |                     pydantic._internal._namespace_utils
import time:       401 |        739 |                   pydantic._internal._typing_extra
import time:       322 |       1060 |                 pydantic._internal._repr
import time:       345 |       3446 |               pydantic.errors
import time:       371 |      35345 |             pydantic
import time:       169 |        169 |                 pydantic._internal._internal_dataclass
import time:       782 |        951 |               pydantic.aliases
import time:       674 |        674 |               pydantic.config
import time:       344 |       1968 |             pydantic._internal._config
import time:       277 |        277 |               pydantic._internal._core_utils
import time:       253 |        253 |                 pydantic._internal._import_utils
import time:       606 |        859 |               pydantic._internal._utils
import time:      1898 |       3032 |             pydantic._internal._decorators
import time:       353 |        353 |                 pydantic._internal._forward_ref
import time:       434 |        786 |               pydantic._internal._generics
import time:       262 |        262 |               pydantic._internal._docs_extraction
import time:       366 |       1413 |             pydantic._internal._fields
import time:       393 |        393 |                 pydantic.plugin
import time:       327 |        719 |               pydantic.plugin._schema_validator
import time:       304 |       1023 |             pydantic._internal._mock_val_ser
import time:      3132 |       3132 |                 fractions
import time:      1544 |       1544 |                   _uuid
import time:      1231 |       2774 |                 uuid
import time:       537 |        537 |                     sysconfig
import time:       579 |        579 |                     _sysconfigdata__darwin_darwin
import time:       536 |        536 |                     _osx_support
import time:      1089 |       2739 |                   zoneinfo._tzpath
import time:       336 |        336 |                   zoneinfo._common
import time:      1743 |       1743 |                   _zoneinfo
import time:       471 |       5288 |                 zoneinfo
import time:      1092 |       1092 |                 pydantic.annotated_handlers
import time:      3660 |       3660 |                 pydantic.functional_validators
import time:       394 |        394 |                   pydantic._internal._core_metadata
import time:       327 |        327 |                   pydantic._internal._schema_generation_shared
import time:      1422 |       2142 |                 pydantic.json_schema
import time:       387 |        387 |                 pydantic._internal._discriminated_union
import time:       331 |        331 |                 pydantic._internal._known_annotated_metadata
import time:       428 |        428 |                 pydantic._internal._schema_gather
import time:      1384 |      20614 |               pydantic._internal._generate_schema
import time:       288 |        288 |               pydantic._internal._signature
